type,mode,sync,frame_id,view,view_pair,psnr,ssim,lpips,p_squeeze,lrce
per_view,direct,2013_05_28_drive_0000_sync,0000010926,left,,10.011656289367362,0.310209721326828,0.5668964982032776,25.467632293701172,0.0976046547293663
per_view,direct,2013_05_28_drive_0000_sync,0000010927,left,,8.339645394623435,0.24973972141742706,0.663985013961792,29.98967933654785,0.14557147026062012
per_view,direct,2013_05_28_drive_0000_sync,0000010926,left_to_front_30,,6.153666456339076,0.256704717874527,0.6912978887557983,31.932044982910156,0.24017757177352905
per_view,direct,2013_05_28_drive_0000_sync,0000010927,left_to_front_30,,8.592504822797709,0.3116597831249237,0.6182082891464233,31.074718475341797,0.13610891997814178
per_view,direct,2013_05_28_drive_0000_sync,0000010926,front,,9.324743676143827,0.25981828570365906,0.6992690563201904,33.94416427612305,0.11364945769309998
per_view,direct,2013_05_28_drive_0000_sync,0000010927,front,,11.118417631767446,0.3414957523345947,0.5951763391494751,30.396831512451172,0.07430553436279297
per_view,direct,2013_05_28_drive_0000_sync,0000010926,right_to_front_30,,9.456106196966097,0.4234579801559448,0.7596192359924316,33.975914001464844,0.11198437213897705
per_view,direct,2013_05_28_drive_0000_sync,0000010927,right_to_front_30,,9.415412625020258,0.428326278924942,0.7234097123146057,35.22153854370117,0.11380499601364136
per_view,direct,2013_05_28_drive_0000_sync,0000010926,right,,9.675416156827465,0.4090653359889984,0.7507091760635376,37.94662857055664,0.10660289227962494
per_view,direct,2013_05_28_drive_0000_sync,0000010927,right,,10.426217544569113,0.4752848148345947,0.7277145385742188,37.2292366027832,0.08907332271337509
per_view,direct,2013_05_28_drive_0002_sync,0000018277,left,,14.096332972443737,0.3358375132083893,0.5469470024108887,26.69625473022461,0.038031190633773804
per_view,direct,2013_05_28_drive_0002_sync,0000018278,left,,14.35400274785862,0.2676699161529541,0.5899330973625183,21.386219024658203,0.03584998473525047
per_view,direct,2013_05_28_drive_0002_sync,0000018277,left_to_front_30,,12.904857921147688,0.2548206150531769,0.5281972885131836,25.204788208007812,0.050352390855550766
per_view,direct,2013_05_28_drive_0002_sync,0000018278,left_to_front_30,,10.666784740392982,0.18724745512008667,0.6137115359306335,21.77183723449707,0.08437451720237732
per_view,direct,2013_05_28_drive_0002_sync,0000018277,front,,9.896054913808733,0.15062154829502106,0.6429742574691772,22.89386558532715,0.09844948351383209
per_view,direct,2013_05_28_drive_0002_sync,0000018278,front,,10.308167206938467,0.135091170668602,0.5610060691833496,20.875764846801758,0.0882871150970459
per_view,direct,2013_05_28_drive_0002_sync,0000018277,right_to_front_30,,11.639424813278975,0.21099404990673065,0.5931247472763062,25.236141204833984,0.06601689755916595
per_view,direct,2013_05_28_drive_0002_sync,0000018278,right_to_front_30,,11.844096094591814,0.23996591567993164,0.5806458592414856,34.65605926513672,0.06399288028478622
per_view,direct,2013_05_28_drive_0002_sync,0000018277,right,,10.653175670814207,0.22549986839294434,0.6133705377578735,27.71265983581543,0.08508281409740448
per_view,direct,2013_05_28_drive_0002_sync,0000018278,right,,12.861993145393612,0.2341218739748001,0.5527909994125366,34.11318588256836,0.049804747104644775
per_view,direct,2013_05_28_drive_0003_sync,0000000978,left,,20.10318083205859,0.47404995560646057,0.4680572748184204,17.58439826965332,0.008591307327151299
per_view,direct,2013_05_28_drive_0003_sync,0000000979,left,,19.9648133868837,0.5257503390312195,0.42997848987579346,11.46887493133545,0.009458176791667938
per_view,direct,2013_05_28_drive_0003_sync,0000000978,left_to_front_30,,12.482596577440457,0.2146746665239334,0.6237621307373047,22.20021629333496,0.05386454984545708
per_view,direct,2013_05_28_drive_0003_sync,0000000979,left_to_front_30,,15.852915960364516,0.41344156861305237,0.5819154381752014,17.220516204833984,0.024492371827363968
per_view,direct,2013_05_28_drive_0003_sync,0000000978,front,,10.72281825311478,0.2187366932630539,0.5384618639945984,15.899961471557617,0.0778728574514389
per_view,direct,2013_05_28_drive_0003_sync,0000000979,front,,10.14219964399939,0.20705129206180573,0.5737375020980835,22.018754959106445,0.08997708559036255
per_view,direct,2013_05_28_drive_0003_sync,0000000978,right_to_front_30,,9.922209184960355,0.08543489128351212,0.45107293128967285,17.671884536743164,0.09444578737020493
per_view,direct,2013_05_28_drive_0003_sync,0000000979,right_to_front_30,,9.631006886092562,0.07892441004514694,0.43481796979904175,20.39678955078125,0.10022108256816864
per_view,direct,2013_05_28_drive_0003_sync,0000000978,right,,8.007080286694535,0.0943794772028923,0.5220904350280762,20.288515090942383,0.1520027369260788
per_view,direct,2013_05_28_drive_0003_sync,0000000979,right,,9.269465634965691,0.06710419803857803,0.4372386336326599,16.491411209106445,0.11067771166563034
per_view,direct,2013_05_28_drive_0005_sync,0000006386,left,,26.59155159408059,0.5351576209068298,0.5388661623001099,24.558629989624023,0.001943556359037757
per_view,direct,2013_05_28_drive_0005_sync,0000006387,left,,26.361910163404865,0.49449190497398376,0.5619728565216064,22.86663818359375,0.002029456663876772
per_view,direct,2013_05_28_drive_0005_sync,0000006386,left_to_front_30,,19.58189142923318,0.45675286650657654,0.765129566192627,29.630695343017578,0.01085775624960661
per_view,direct,2013_05_28_drive_0005_sync,0000006387,left_to_front_30,,22.32710831965411,0.39497578144073486,0.5908293128013611,21.511524200439453,0.005428349133580923
per_view,direct,2013_05_28_drive_0005_sync,0000006386,front,,9.215090562934682,0.285478800535202,0.649449348449707,37.12916946411133,0.11453913897275925
per_view,direct,2013_05_28_drive_0005_sync,0000006387,front,,9.24527455922536,0.28970643877983093,0.5913461446762085,29.811946868896484,0.11530135571956635
per_view,direct,2013_05_28_drive_0005_sync,0000006386,right_to_front_30,,7.644613128279514,0.0918288305401802,0.6973975896835327,40.33720397949219,0.1666828989982605
per_view,direct,2013_05_28_drive_0005_sync,0000006387,right_to_front_30,,6.811190376205699,0.08821499347686768,0.7229230403900146,35.058815002441406,0.20392881333827972
per_view,direct,2013_05_28_drive_0005_sync,0000006386,right,,7.726106950592619,0.12160899490118027,0.6915009021759033,32.25382614135742,0.1645289957523346
per_view,direct,2013_05_28_drive_0005_sync,0000006387,right,,8.156741843657079,0.11003964394330978,0.7152075171470642,27.8056640625,0.14785407483577728
per_view,direct,2013_05_28_drive_0006_sync,0000009213,left,,14.174187913262926,0.1727670431137085,0.6748563647270203,39.50927734375,0.03742186725139618
per_view,direct,2013_05_28_drive_0006_sync,0000009214,left,,14.891538535006788,0.16191400587558746,0.5537056922912598,27.344879150390625,0.030384570360183716
per_view,direct,2013_05_28_drive_0006_sync,0000009213,left_to_front_30,,14.450592451810508,0.13963572680950165,0.5413609743118286,26.61771011352539,0.03351927548646927
per_view,direct,2013_05_28_drive_0006_sync,0000009214,left_to_front_30,,14.519251932706322,0.15022379159927368,0.5385280847549438,23.13627815246582,0.0336165688931942
per_view,direct,2013_05_28_drive_0006_sync,0000009213,front,,9.925858649799869,0.17693065106868744,0.6082552671432495,28.241016387939453,0.09592937678098679
per_view,direct,2013_05_28_drive_0006_sync,0000009214,front,,10.554996767977249,0.19058944284915924,0.6140344142913818,28.650968551635742,0.0835629403591156
per_view,direct,2013_05_28_drive_0006_sync,0000009213,right_to_front_30,,11.640816536006088,0.33700835704803467,0.6792573928833008,26.15215301513672,0.0682438388466835
per_view,direct,2013_05_28_drive_0006_sync,0000009214,right_to_front_30,,11.416716527811081,0.4708547592163086,0.6570026278495789,26.64837074279785,0.07065760344266891
per_view,direct,2013_05_28_drive_0006_sync,0000009213,right,,17.429721265378724,0.6492453813552856,0.44922804832458496,17.689794540405273,0.018048439174890518
per_view,direct,2013_05_28_drive_0006_sync,0000009214,right,,18.04366005846323,0.6610891222953796,0.5009360313415527,19.806760787963867,0.015658922493457794
per_view,direct,2013_05_28_drive_0007_sync,0000003003,left,,8.014140758110596,0.18837003409862518,0.5799187421798706,30.765275955200195,0.15477123856544495
per_view,direct,2013_05_28_drive_0007_sync,0000003004,left,,8.084549585643215,0.1585063338279724,0.6424176096916199,30.865093231201172,0.1505793333053589
per_view,direct,2013_05_28_drive_0007_sync,0000003003,left_to_front_30,,8.319494052386498,0.200170636177063,0.5979313850402832,39.282894134521484,0.14170080423355103
per_view,direct,2013_05_28_drive_0007_sync,0000003004,left_to_front_30,,9.491751573508612,0.2351892590522766,0.6028158664703369,37.784934997558594,0.1089489683508873
per_view,direct,2013_05_28_drive_0007_sync,0000003003,front,,9.705506983773155,0.20915788412094116,0.6552308797836304,36.91108322143555,0.10303165763616562
per_view,direct,2013_05_28_drive_0007_sync,0000003004,front,,9.960316352884194,0.19558143615722656,0.641708254814148,40.837032318115234,0.09685681760311127
per_view,direct,2013_05_28_drive_0007_sync,0000003003,right_to_front_30,,10.256507631673307,0.29130563139915466,0.677463710308075,42.09282302856445,0.0927121639251709
per_view,direct,2013_05_28_drive_0007_sync,0000003004,right_to_front_30,,9.320248034545994,0.3326423466205597,0.7309257984161377,39.8942756652832,0.1149258017539978
per_view,direct,2013_05_28_drive_0007_sync,0000003003,right,,12.071240656325127,0.40554574131965637,0.6307756304740906,38.3582649230957,0.06077352166175842
per_view,direct,2013_05_28_drive_0007_sync,0000003004,right,,11.46053083869078,0.3803493082523346,0.7000017166137695,46.354103088378906,0.070057213306427
per_view,direct,2013_05_28_drive_0009_sync,0000013257,left,,5.522261198542894,0.13381265103816986,0.7756041288375854,39.12434005737305,0.27856433391571045
per_view,direct,2013_05_28_drive_0009_sync,0000013258,left,,5.959769287059238,0.2938825786113739,0.7730705738067627,43.80897903442383,0.2506304681301117
per_view,direct,2013_05_28_drive_0009_sync,0000013257,left_to_front_30,,6.4568221819666505,0.23642198741436005,0.715973973274231,39.28634262084961,0.22232010960578918
per_view,direct,2013_05_28_drive_0009_sync,0000013258,left_to_front_30,,4.729508201601199,0.18160875141620636,0.7414012551307678,44.43653106689453,0.33199000358581543
per_view,direct,2013_05_28_drive_0009_sync,0000013257,front,,9.99075607056524,0.35899004340171814,0.5399826169013977,24.230846405029297,0.09643401950597763
per_view,direct,2013_05_28_drive_0009_sync,0000013258,front,,9.49253062595538,0.35335198044776917,0.5685402154922485,24.152292251586914,0.10899754613637924
per_view,direct,2013_05_28_drive_0009_sync,0000013257,right_to_front_30,,14.867228671906826,0.4652876853942871,0.5672054290771484,23.008434295654297,0.030958106741309166
per_view,direct,2013_05_28_drive_0009_sync,0000013258,right_to_front_30,,16.550514256958152,0.49112892150878906,0.5352086424827576,17.432401657104492,0.02127629518508911
per_view,direct,2013_05_28_drive_0009_sync,0000013257,right,,18.99204256701986,0.47360920906066895,0.5668163299560547,16.863950729370117,0.01170108001679182
per_view,direct,2013_05_28_drive_0009_sync,0000013258,right,,12.909799183625932,0.36945733428001404,0.6060429811477661,19.56483268737793,0.04927113652229309
per_view,direct,2013_05_28_drive_0010_sync,0000003555,left,,5.634408357890036,0.23784120380878448,0.7033720016479492,32.078224182128906,0.2685692310333252
per_view,direct,2013_05_28_drive_0010_sync,0000003557,left,,5.654408701388807,0.3074285686016083,0.6687115430831909,32.32160568237305,0.2686789631843567
per_view,direct,2013_05_28_drive_0010_sync,0000003555,left_to_front_30,,7.576437735112522,0.29884910583496094,0.6431108713150024,38.11271667480469,0.171330988407135
per_view,direct,2013_05_28_drive_0010_sync,0000003557,left_to_front_30,,6.912724852344078,0.32347702980041504,0.7425497770309448,40.21485900878906,0.20162031054496765
per_view,direct,2013_05_28_drive_0010_sync,0000003555,front,,8.000331542857076,0.21501116454601288,0.6112506985664368,38.38146209716797,0.15358471870422363
per_view,direct,2013_05_28_drive_0010_sync,0000003557,front,,9.053409533858023,0.2254614382982254,0.6093366742134094,37.83301544189453,0.11971749365329742
per_view,direct,2013_05_28_drive_0010_sync,0000003555,right_to_front_30,,12.11264395065129,0.27550527453422546,0.6326929330825806,29.00872802734375,0.06031067296862602
per_view,direct,2013_05_28_drive_0010_sync,0000003557,right_to_front_30,,13.443912915504386,0.27654728293418884,0.5952661633491516,29.60657501220703,0.044331859797239304
per_view,direct,2013_05_28_drive_0010_sync,0000003555,right,,9.607404607365503,0.23960332572460175,0.6917893886566162,34.78643035888672,0.10847759246826172
per_view,direct,2013_05_28_drive_0010_sync,0000003557,right,,9.636141526380165,0.2501196265220642,0.7444055676460266,32.476985931396484,0.10784508287906647
